business type,deposit 1,deposit 2,deposit 3,avg deposit amount,avg deposit count,num of days with neg balance,credit score,satisfactory credit account,delinquent credit account,credit inquiries,past default,time since last default,number of lenders,individual lender withdrawals,monthly lender withdrawal,leftover cashflow,approval,offer,rate,term (days)
DAY CARE CENTER,1467.64,1268.44,1414.2,1383.43,10,2,330,9,10,38,True,1,1,25.71,558.94,824.49,Denied,0.0,0.0,0
DAY CARE CENTER,33081.33,27341.19,35972.26,32131.6,12,0,458,15,2,44,True,1,3,494.97;301.72;175.64,21138.45,10993.14,Approved,7000,1.45,70
HOTEL,8405.51,7453.3,7092.45,7650.42,20,0,797,34,12,27,False,-1,0,N/A,0.0,7650.42,Approved,4500,1.45,80
AUTO REPAIR SHOP,33763.53,36459.19,34848.6,35023.77,10,0,537,20,4,20,False,-1,3,432.63;386.17;170.05,21497.6,13526.17,Approved,10500,1.45,70
GROCERY STORE,36991.21,35081.33,37708.62,36593.72,17,0,378,3,17,29,True,2,4,641.76;252.46;324.73;206.59,30991.24,5602.48,Approved,5000,1.45,60
GROCERY STORE,7487.51,6509.45,8184.15,7393.7,18,0,427,33,13,29,False,-1,4,120.40;41.21;47.73;37.21,5360.0,2033.71,Approved,2000,1.45,50
GROCERY STORE,31072.16,33886.97,26587.65,30515.59,17,0,565,4,26,58,True,0,0,N/A,0.0,30515.59,Denied,0.0,0.0,0
FITNESS CENTER,38281.11,35254.9,26308.92,33281.64,9,0,657,24,34,34,True,0,1,412.61,8970.14,24311.5,Approved,4000,1.45,60
TRUCKING COMPANY,13789.32,13545.68,8465.63,11933.55,5,2,666,0,21,30,False,-1,1,162.88,3541.01,8392.53,Approved,3000,1.45,50
CAR DEALER,34775.11,37005.86,40431.8,37404.26,6,6,680,18,6,26,False,-1,2,532.43;376.40,19757.96,17646.29,Approved,8000,1.45,70
CONSTRUCTION RELATED,28224.08,27534.36,30562.41,28773.62,7,2,488,15,26,25,True,0,0,N/A,0.0,28773.62,Denied,0.0,0.0,0
OTHER,13729.98,10619.26,11538.78,11962.67,9,10,607,3,11,32,False,-1,4,185.75;119.53;90.66;67.65,10078.45,1884.23,Denied,0.0,0.0,0
RESTAURANT,34485.8,36610.61,30231.58,33776.0,16,3,713,17,4,26,True,2,0,N/A,0.0,33776.0,Denied,0.0,0.0,0
RESTAURANT,3899.37,3922.69,4086.64,3969.57,19,0,534,5,10,15,False,-1,0,N/A,0.0,3969.57,Approved,2000,1.45,60
OTHER,20357.36,16127.52,21059.18,19181.35,13,0,609,32,2,9,False,-1,0,N/A,0.0,19181.35,Approved,11000,1.45,100
GAS STATION,18594.48,15432.0,14792.22,16272.9,18,0,611,21,32,23,True,0,0,N/A,0.0,16272.9,Denied,0.0,0.0,0
TOWING COMPANY,33467.53,29262.46,29391.0,30707.0,9,9,539,25,21,29,True,0,0,N/A,0.0,30707.0,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,9596.48,11001.02,8860.68,9819.39,6,0,514,20,4,29,False,-1,5,149.69;91.55;80.12;55.40;62.00,9538.64,280.75,Denied,0.0,0.0,0
LUXURY TRANSPORTATION SERVICE,15033.09,15575.85,14397.47,15002.14,7,0,459,33,31,51,True,0,0,N/A,0.0,15002.14,Denied,0.0,0.0,0
STAFFING COMPANY,916.09,1526.84,1226.54,1223.16,18,0,655,32,17,16,False,-1,0,N/A,0.0,1223.16,Denied,0.0,0.0,0
STAFFING COMPANY,39923.84,37445.91,35472.17,37613.98,14,15,586,34,3,17,True,0,0,N/A,0.0,37613.98,Denied,0.0,0.0,0
RESTAURANT,5805.47,4972.19,6289.89,5689.18,17,1,507,9,7,25,False,-1,1,84.32,1833.12,3856.07,Approved,2000,1.45,60
DAY CARE CENTER,6264.2,6519.73,4882.51,5888.82,11,0,551,8,27,34,True,0,0,N/A,0.0,5888.82,Denied,0.0,0.0,0
CAR DEALER,28472.08,33017.27,28487.12,29992.16,5,8,452,15,29,15,False,-1,2,510.54;210.17,15668.24,14323.92,Approved,6000,1.45,65
AUTO REPAIR SHOP,3110.2,3111.43,3714.49,3312.04,6,4,616,33,31,29,True,2,0,N/A,0.0,3312.04,Denied,0.0,0.0,0
FITNESS CENTER,28764.08,28054.2,26469.16,27762.48,11,0,478,14,21,18,True,0,0,N/A,0.0,27762.48,Denied,0.0,0.0,0
GROCERY STORE,14756.46,11666.86,17178.28,14533.87,17,0,543,3,29,39,False,-1,3,171.73;144.01;123.06,9539.51,4994.35,Approved,3500,1.45,60
DENTISTS' OFFICE,17533.55,18532.71,16268.77,17445.01,13,15,470,1,22,33,False,-1,4,260.47;147.28;106.07;81.05,12932.47,4512.54,Denied,0.0,0.0,0
DAY CARE CENTER,13054.79,13481.87,13236.64,13257.76,11,3,537,34,24,25,True,0,0,N/A,0.0,13257.76,Denied,0.0,0.0,0
PLUMBER,12737.28,11984.86,12310.68,12344.28,9,4,673,33,7,15,True,1,0,N/A,0.0,12344.28,Denied,0.0,0.0,0
STAFFING COMPANY,10099.32,10438.34,11537.47,10691.71,15,0,653,27,18,31,True,4,0,N/A,0.0,10691.71,Denied,0.0,0.0,0
GAS STATION,35306.85,38151.44,31409.13,34955.81,18,0,500,12,2,54,False,-1,2,425.63;326.09,16342.39,18613.41,Approved,11000,1.45,70
AUTO REPAIR SHOP,34108.33,27874.57,27595.49,29859.46,11,2,463,10,16,16,False,-1,5,368.23;252.23;243.78;185.38;183.13,26799.98,3059.48,Approved,5000,1.45,65
FITNESS CENTER,17475.43,16527.64,17016.91,17006.66,9,0,518,0,34,21,False,-1,4,301.67;119.35;92.51;97.36,13280.75,3725.91,Denied,0.0,0.0,0
GROCERY STORE,13002.95,13188.81,11392.68,12528.15,16,5,571,11,8,34,True,1,0,N/A,0.0,12528.15,Denied,0.0,0.0,0
CONSTRUCTION RELATED,25048.67,24610.04,22556.32,24071.68,3,0,486,9,22,27,False,-1,3,254.85;187.28;182.02,13569.02,10502.66,Approved,5000,1.45,70
DENTISTS' OFFICE,4866.55,5197.2,5419.64,5161.13,9,0,523,22,13,32,True,1,0,N/A,0.0,5161.13,Denied,0.0,0.0,0
DENTISTS' OFFICE,12012.42,10542.15,9495.36,10683.31,12,0,557,30,4,28,False,-1,3,204.42;92.91;78.60,8172.72,2510.59,Approved,4000,1.45,90
OTHER,22401.83,21109.83,19276.5,20929.38,9,5,487,5,21,27,False,-1,3,377.20;203.38;162.78,16160.65,4768.74,Approved,4200,1.45,70
DENTISTS' OFFICE,33210.97,33619.89,41248.89,36026.59,11,0,420,4,16,24,False,-1,1,309.51,6728.75,29297.84,Approved,12000,1.45,80
JANITORIAL SERVICE,38581.78,29878.33,27410.24,31956.78,12,14,677,22,5,34,False,-1,0,N/A,0.0,31956.78,Approved,10000,1.45,75
